,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,payment_type,trip_type,congestion_surcharge,cbd_congestion_fee,trip_duration_minutes,pickup_hour,pickup_day,pickup_month
12102,95,160,1.0,1.99,15.6,2.5,0.5,0.0,0.0,19.6,2.0,1.0,0.0,0.0,14.95,17,Thursday,1
12103,97,49,1.0,0.99,12.1,2.5,0.5,0.0,0.0,16.1,1.0,1.0,0.0,0.0,14.683333333333334,17,Thursday,1
12105,82,138,1.0,3.82,17.7,7.5,0.5,6.68,0.0,33.38,1.0,1.0,0.0,0.0,9.5,17,Thursday,1
12106,97,97,1.0,1.37,11.4,2.5,0.5,3.08,0.0,18.48,1.0,1.0,0.0,0.0,10.616666666666667,17,Thursday,1
12107,65,34,1.0,1.22,11.4,2.5,0.5,0.0,0.0,15.4,2.0,1.0,0.0,0.0,10.7,17,Thursday,1
12110,130,215,1.0,1.73,10.7,2.5,0.5,2.94,0.0,17.64,1.0,1.0,0.0,0.0,9.216666666666667,17,Thursday,1
12112,74,75,1.0,0.84,7.2,2.5,0.5,0.0,0.0,11.2,1.0,1.0,0.0,0.0,4.85,17,Thursday,1
12113,33,52,1.0,0.65,6.5,2.5,0.5,0.0,0.0,10.5,2.0,1.0,0.0,0.0,4.75,17,Thursday,1
12114,37,61,1.0,0.0,18.5,0.0,1.5,0.0,0.0,20.0,1.0,1.0,0.0,0.0,26.033333333333335,17,Thursday,1
12118,95,121,1.0,2.62,17.7,2.5,0.5,0.0,0.0,21.7,1.0,1.0,0.0,0.0,16.816666666666666,17,Thursday,1
12119,95,95,1.0,0.85,8.6,2.5,0.5,0.0,0.0,12.6,1.0,1.0,0.0,0.0,7.483333333333333,17,Thursday,1
12120,75,238,1.0,1.19,8.6,2.5,0.5,0.0,0.0,12.6,2.0,1.0,0.0,0.0,7.016666666666667,17,Thursday,1
12121,75,141,1.0,2.09,15.6,2.5,0.5,4.47,0.0,26.82,1.0,1.0,2.75,0.0,15.15,17,Thursday,1
12122,97,17,1.0,2.13,17.7,2.5,0.5,6.51,0.0,28.21,1.0,1.0,0.0,0.0,20.133333333333333,17,Thursday,1
12123,74,42,1.0,1.57,10.0,2.5,0.5,2.8,0.0,16.8,1.0,1.0,0.0,0.0,8.116666666666667,17,Thursday,1
12125,151,107,1.0,0.0,27.5,0.0,1.5,0.0,0.0,29.0,1.0,1.0,0.0,0.0,32.233333333333334,17,Thursday,1
12126,74,239,1.0,3.1,21.2,2.5,0.5,5.59,0.0,33.54,1.0,1.0,2.75,0.0,21.366666666666667,17,Thursday,1
12127,41,74,1.0,0.76,7.9,2.5,0.5,2.38,0.0,14.28,1.0,1.0,0.0,0.0,6.966666666666667,17,Thursday,1
12128,74,236,1.0,2.23,14.9,2.5,0.5,3.0,0.0,24.65,1.0,1.0,2.75,0.0,13.433333333333334,17,Thursday,1
12130,236,236,1.0,1.33,12.8,2.5,0.5,1.96,0.0,21.51,1.0,1.0,2.75,0.0,13.483333333333333,17,Thursday,1
12131,75,74,1.0,2.06,14.9,2.5,0.5,0.0,0.0,18.9,2.0,1.0,0.0,0.0,14.283333333333333,17,Thursday,1
12133,74,238,1.0,2.2,15.6,2.5,0.5,1.5,0.0,21.1,1.0,1.0,0.0,0.0,16.383333333333333,11,Thursday,1
12134,75,75,1.0,0.95,9.3,2.5,0.5,2.66,0.0,15.96,1.0,1.0,0.0,0.0,8.333333333333334,17,Thursday,1
12135,75,238,1.0,2.19,15.6,2.5,0.5,4.47,0.0,26.82,1.0,1.0,2.75,0.0,14.883333333333333,17,Thursday,1
12136,43,262,1.0,1.6,12.1,2.5,0.5,3.77,0.0,22.62,1.0,1.0,2.75,0.0,11.933333333333334,16,Thursday,1
12140,75,43,1.0,1.33,10.0,2.5,0.5,2.8,0.0,16.8,1.0,1.0,0.0,0.0,8.966666666666667,17,Thursday,1
12141,75,69,1.0,2.78,17.0,2.5,0.5,1.0,0.0,22.0,1.0,1.0,0.0,0.0,16.833333333333332,17,Thursday,1
12142,82,129,1.0,0.87,10.7,2.5,0.5,2.94,0.0,17.64,1.0,1.0,0.0,0.0,10.483333333333333,17,Thursday,1
12143,75,141,1.0,2.6,18.4,2.5,0.5,3.0,0.0,28.15,1.0,1.0,2.75,0.0,16.916666666666668,17,Thursday,1
12144,152,24,1.0,1.54,12.1,2.5,0.5,0.0,0.0,16.1,1.0,1.0,0.0,0.0,11.466666666666667,17,Thursday,1
12145,75,151,1.0,1.65,13.5,2.5,0.5,0.0,0.0,17.5,2.0,1.0,0.0,0.0,13.266666666666667,17,Thursday,1
12146,75,74,1.0,1.6,11.4,2.5,0.5,0.0,0.0,15.4,2.0,1.0,0.0,0.0,10.9,17,Thursday,1
12147,75,75,1.0,0.0,3.0,2.5,0.5,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.16666666666666666,17,Thursday,1
12148,75,41,1.0,1.34,10.0,2.5,0.5,0.0,0.0,14.0,2.0,1.0,0.0,0.0,8.916666666666666,17,Thursday,1
12150,42,42,1.0,0.7,5.8,2.5,0.5,0.0,0.0,9.8,2.0,1.0,0.0,0.0,3.35,17,Thursday,1
12151,42,42,1.0,0.39,5.8,2.5,0.5,1.96,0.0,11.76,1.0,1.0,0.0,0.0,4.316666666666666,17,Thursday,1
12153,244,42,1.0,2.06,18.4,2.5,0.5,2.0,0.0,24.4,1.0,1.0,0.0,0.0,20.133333333333333,17,Thursday,1
12155,75,262,1.0,1.55,12.1,2.5,0.5,3.77,0.0,22.62,1.0,1.0,2.75,0.0,12.333333333333334,17,Thursday,1
12156,95,95,1.0,1.08,9.3,2.5,0.5,0.0,0.0,13.3,2.0,1.0,0.0,0.0,7.483333333333333,17,Thursday,1
12157,134,95,1.0,1.49,11.4,2.5,0.5,0.0,0.0,15.4,2.0,1.0,0.0,0.0,10.15,17,Thursday,1
12159,75,48,1.0,3.01,19.8,2.5,0.5,5.46,0.0,32.76,1.0,1.0,2.75,0.75,19.033333333333335,17,Thursday,1
12160,75,236,1.0,0.44,5.8,2.5,0.5,1.88,0.0,14.43,1.0,1.0,2.75,0.0,3.6166666666666667,17,Thursday,1
12161,82,56,1.0,1.32,12.1,2.5,0.5,0.0,0.0,16.1,2.0,1.0,0.0,0.0,11.7,17,Thursday,1
12162,196,95,1.0,0.66,9.3,2.5,0.5,2.66,0.0,15.96,1.0,1.0,0.0,0.0,8.9,17,Thursday,1
12163,33,181,1.0,2.42,17.0,2.5,0.5,4.2,0.0,25.2,1.0,1.0,0.0,0.0,17.983333333333334,17,Thursday,1
12164,75,75,1.0,0.65,5.1,2.5,0.5,1.36,0.0,10.46,1.0,1.0,0.0,0.0,2.35,17,Thursday,1
12165,95,95,1.0,0.0,20.0,0.0,0.0,0.0,0.0,21.0,1.0,2.0,0.0,0.0,0.13333333333333333,17,Thursday,1
12166,95,95,1.0,1.28,14.2,2.5,0.5,3.64,0.0,21.84,1.0,1.0,0.0,0.0,15.366666666666667,17,Thursday,1
12168,65,97,1.0,0.7,7.9,2.5,1.5,0.0,0.0,11.9,2.0,1.0,0.0,0.0,8.333333333333334,17,Thursday,1
12170,75,236,1.0,0.89,7.2,2.5,0.5,0.0,0.0,13.95,2.0,1.0,2.75,0.0,5.4,17,Thursday,1
12171,75,263,1.0,1.69,12.8,2.5,0.5,3.91,0.0,23.46,1.0,1.0,2.75,0.0,12.066666666666666,17,Thursday,1
12172,75,74,1.0,1.34,8.6,2.5,0.5,2.52,0.0,15.12,1.0,1.0,0.0,0.0,6.033333333333333,17,Thursday,1
12177,74,236,1.0,2.13,13.5,2.5,0.5,4.05,0.0,24.3,1.0,1.0,2.75,0.0,12.983333333333333,17,Thursday,1
12178,97,97,1.0,1.12,9.3,2.5,0.5,2.0,0.0,15.3,1.0,1.0,0.0,0.0,7.616666666666666,18,Thursday,1
12179,74,75,1.0,1.6,11.4,2.5,0.5,2.0,0.0,16.7,1.0,1.0,0.0,0.0,9.883333333333333,18,Thursday,1
12182,97,225,1.0,3.51,22.6,2.5,0.5,0.0,0.0,26.6,2.0,1.0,0.0,0.0,23.716666666666665,18,Thursday,1
12183,75,161,1.0,2.79,23.3,2.5,0.5,6.16,0.0,36.96,1.0,1.0,2.75,0.75,26.066666666666666,18,Thursday,1
12184,82,7,1.0,2.74,19.8,2.5,0.5,4.76,0.0,28.56,1.0,1.0,0.0,0.0,21.033333333333335,18,Thursday,1
12185,260,138,1.0,3.91,19.8,7.5,0.5,5.76,0.0,34.56,1.0,1.0,0.0,0.0,13.733333333333333,18,Thursday,1
12186,97,190,1.0,2.5,17.0,2.5,1.5,0.0,0.0,21.0,1.0,1.0,0.0,0.0,16.15,18,Thursday,1
12187,75,237,1.0,1.38,11.4,2.5,0.5,3.63,0.0,21.78,1.0,1.0,2.75,0.0,9.383333333333333,18,Thursday,1
12188,74,239,1.0,3.15,19.1,2.5,0.5,5.17,0.0,31.02,1.0,1.0,2.75,0.0,17.816666666666666,18,Thursday,1
12189,97,97,1.0,1.19,10.0,2.5,0.5,2.8,0.0,16.8,1.0,1.0,0.0,0.0,8.666666666666666,18,Thursday,1
12190,42,42,1.0,0.0,3.0,2.5,0.5,2.1,0.0,9.1,1.0,1.0,0.0,0.0,0.6166666666666667,18,Thursday,1
12191,7,129,1.0,2.47,14.9,2.5,0.5,0.0,0.0,18.9,2.0,1.0,0.0,0.0,12.516666666666667,18,Thursday,1
12192,75,163,1.0,2.3,19.1,6.0,1.5,5.3,0.0,31.9,1.0,1.0,2.75,0.75,19.45,18,Thursday,1
12193,7,179,1.0,0.9,10.0,2.5,1.5,0.0,0.0,14.0,2.0,1.0,0.0,0.0,9.983333333333333,18,Thursday,1
12195,236,237,1.0,1.62,12.1,2.5,0.5,1.0,0.0,19.85,1.0,1.0,2.75,0.0,10.9,18,Thursday,1
12196,75,74,1.0,1.26,7.2,2.5,0.5,2.24,0.0,13.44,1.0,1.0,0.0,0.0,4.25,18,Thursday,1
12197,74,238,1.0,2.29,14.9,2.5,0.5,3.78,0.0,22.68,1.0,1.0,0.0,0.0,13.2,18,Thursday,1
12198,74,236,1.0,2.4,15.6,2.5,0.5,2.24,0.0,24.59,1.0,1.0,2.75,0.0,14.15,15,Thursday,1
12199,75,75,1.0,1.15,7.9,2.5,0.5,0.0,0.0,11.9,2.0,1.0,0.0,0.0,6.433333333333334,18,Thursday,1
12201,75,263,1.0,1.5,10.0,5.25,1.5,1.5,0.0,18.25,1.0,1.0,2.75,0.0,7.9,18,Thursday,1
12202,75,74,1.0,1.34,10.0,2.5,0.5,1.0,0.0,15.0,1.0,1.0,0.0,0.0,8.416666666666666,18,Thursday,1
12203,43,236,1.0,1.06,8.6,2.5,0.5,1.5,0.0,16.85,1.0,1.0,2.75,0.0,7.533333333333333,18,Thursday,1
12204,43,239,1.0,1.88,12.8,2.5,0.5,3.91,0.0,23.46,1.0,1.0,2.75,0.0,11.65,18,Thursday,1
12206,66,114,1.0,5.28,26.1,2.5,0.5,3.5,0.0,37.1,1.0,1.0,2.75,0.75,19.35,18,Thursday,1
12207,75,164,1.0,3.6,27.5,6.0,1.5,2.0,0.0,37.0,1.0,1.0,2.75,0.75,30.383333333333333,18,Thursday,1
12208,75,74,1.0,1.44,9.3,2.5,0.5,2.66,0.0,15.96,1.0,1.0,0.0,0.0,6.65,18,Thursday,1
12209,65,148,1.0,2.9,17.7,6.0,1.5,0.0,0.0,25.2,2.0,1.0,2.75,0.75,14.866666666666667,18,Thursday,1
12210,41,151,1.0,1.09,9.3,2.5,0.5,2.66,0.0,15.96,1.0,1.0,0.0,0.0,7.483333333333333,18,Thursday,1
12212,43,239,1.0,1.47,9.3,2.5,0.5,3.21,0.0,19.26,1.0,1.0,2.75,0.0,7.066666666666666,18,Thursday,1
12214,134,197,1.0,2.28,17.0,2.5,0.5,4.2,0.0,25.2,1.0,1.0,0.0,0.0,17.216666666666665,18,Thursday,1
12215,134,197,1.0,2.13,14.2,2.5,0.5,0.0,0.0,18.2,1.0,1.0,0.0,0.0,12.916666666666666,18,Thursday,1
12216,134,28,1.0,3.2,20.5,2.5,0.5,0.0,0.0,24.5,1.0,1.0,0.0,0.0,18.716666666666665,18,Thursday,1
12217,74,75,1.0,1.27,10.7,2.5,0.5,0.0,0.0,14.7,2.0,1.0,0.0,0.0,12.533333333333333,18,Thursday,1
12218,82,173,1.0,1.84,14.9,2.5,0.5,3.78,0.0,22.68,1.0,1.0,0.0,0.0,16.083333333333332,18,Thursday,1
12219,223,223,1.0,0.91,7.9,2.5,0.5,2.38,0.0,14.28,1.0,1.0,0.0,0.0,6.066666666666666,18,Thursday,1
12220,66,49,1.0,2.8,18.4,2.5,1.5,2.0,0.0,24.4,1.0,1.0,0.0,0.0,18.5,18,Thursday,1
12221,43,263,1.0,1.05,12.1,2.5,0.5,3.22,0.0,19.32,1.0,1.0,0.0,0.0,12.583333333333334,18,Thursday,1
12222,75,74,1.0,1.34,8.6,2.5,0.5,3.15,0.0,15.75,1.0,1.0,0.0,0.0,5.916666666666667,18,Thursday,1
12224,75,151,1.0,1.32,9.3,2.5,0.5,2.66,0.0,15.96,1.0,1.0,0.0,0.0,6.9,18,Thursday,1
12225,75,43,1.0,1.95,13.5,2.5,0.5,4.05,0.0,24.3,1.0,1.0,2.75,0.0,12.066666666666666,18,Thursday,1
12226,95,197,1.0,2.11,15.6,2.5,0.5,0.0,0.0,19.6,2.0,1.0,0.0,0.0,15.983333333333333,18,Thursday,1
12227,74,151,1.0,2.3,16.3,2.5,0.5,4.06,0.0,24.36,1.0,1.0,0.0,0.0,15.416666666666666,18,Thursday,1
12229,75,74,1.0,1.34,8.6,2.5,0.5,0.0,0.0,12.6,2.0,1.0,0.0,0.0,5.55,18,Thursday,1
12230,75,142,1.0,2.5,14.2,5.25,1.5,0.0,0.0,20.95,2.0,1.0,2.75,0.0,13.183333333333334,18,Thursday,1
12231,75,262,1.0,1.27,12.8,2.5,0.5,0.0,0.0,19.55,2.0,1.0,2.75,0.0,13.55,18,Thursday,1
12233,75,74,1.0,1.53,8.6,2.5,0.5,2.52,0.0,15.12,1.0,1.0,0.0,0.0,4.6,18,Thursday,1
12234,75,236,1.0,0.68,6.5,2.5,0.5,2.65,0.0,15.9,1.0,1.0,2.75,0.0,4.15,18,Thursday,1
12235,43,236,1.0,0.66,5.8,2.5,0.5,3.14,0.0,15.69,1.0,1.0,2.75,0.0,4.133333333333334,18,Thursday,1
12236,75,75,1.0,0.75,7.2,2.5,0.5,0.0,0.0,11.2,2.0,1.0,0.0,0.0,5.083333333333333,18,Thursday,1
12238,75,237,1.0,2.51,16.3,2.5,0.5,4.61,0.0,27.66,1.0,1.0,2.75,0.0,14.883333333333333,18,Thursday,1
12239,74,239,1.0,2.9,17.0,5.25,1.5,3.5,0.0,27.25,1.0,1.0,2.75,0.0,14.916666666666666,18,Thursday,1
12242,74,41,1.0,0.62,6.5,2.5,0.5,0.0,0.0,10.5,4.0,1.0,0.0,0.0,6.05,18,Thursday,1
12243,42,75,1.0,2.97,20.5,2.5,0.5,0.0,0.0,24.5,2.0,1.0,0.0,0.0,20.533333333333335,18,Thursday,1
12247,95,95,1.0,1.01,8.6,2.5,0.5,3.15,0.0,15.75,1.0,1.0,0.0,0.0,7.55,18,Thursday,1
12248,75,151,1.0,1.15,7.9,2.5,0.5,2.38,0.0,14.28,1.0,1.0,0.0,0.0,5.9,18,Thursday,1
12250,75,74,1.0,1.23,7.9,2.5,0.5,2.38,0.0,14.28,1.0,1.0,0.0,0.0,4.783333333333333,18,Thursday,1
12251,95,98,1.0,3.92,21.9,2.5,0.5,0.0,0.0,25.9,2.0,1.0,0.0,0.0,18.966666666666665,18,Thursday,1
12252,97,49,1.0,1.32,10.7,2.5,0.5,0.0,0.0,14.7,2.0,1.0,0.0,0.0,10.3,18,Thursday,1
12253,159,168,1.0,0.4,5.8,2.5,0.5,0.0,0.0,9.8,2.0,1.0,0.0,0.0,4.466666666666667,18,Thursday,1
12254,260,223,1.0,3.33,17.0,2.5,0.5,5.25,0.0,26.25,1.0,1.0,0.0,0.0,13.366666666666667,18,Thursday,1
12256,97,177,1.0,2.19,24.0,2.5,0.5,0.0,0.0,28.0,2.0,1.0,0.0,0.0,30.75,18,Thursday,1
12258,82,138,1.0,3.8,18.4,7.5,0.5,5.48,0.0,32.88,1.0,1.0,0.0,0.0,12.133333333333333,18,Thursday,1
12259,82,138,1.0,3.85,18.4,7.5,0.5,5.48,0.0,32.88,1.0,1.0,0.0,0.0,9.266666666666667,18,Thursday,1
12260,97,49,1.0,1.38,11.4,2.5,0.5,3.08,0.0,18.48,1.0,1.0,0.0,0.0,10.716666666666667,18,Thursday,1
12263,33,54,1.0,1.25,9.3,2.5,0.5,2.66,0.0,15.96,1.0,1.0,0.0,0.0,8.4,18,Thursday,1
12264,33,195,1.0,1.92,10.7,2.5,0.5,2.94,0.0,17.64,1.0,1.0,0.0,0.0,8.783333333333333,18,Thursday,1
12267,226,129,1.0,2.21,14.9,2.5,0.5,0.0,0.0,18.9,2.0,1.0,0.0,0.0,15.05,18,Thursday,1
12268,92,253,1.0,2.5,15.6,2.5,0.5,0.0,0.0,19.6,2.0,1.0,0.0,0.0,14.733333333333333,18,Thursday,1
12269,97,49,1.0,1.64,12.8,2.5,0.5,3.36,0.0,20.16,1.0,1.0,0.0,0.0,13.1,18,Thursday,1
12270,25,54,1.0,2.8,15.6,2.5,0.5,4.9,0.0,24.5,1.0,1.0,0.0,0.0,11.0,18,Thursday,1
12271,74,75,1.0,1.61,10.0,2.5,0.5,0.0,0.0,14.0,2.0,1.0,0.0,0.0,7.966666666666667,18,Thursday,1
12273,223,138,1.0,3.4,17.7,7.5,1.5,5.34,0.0,32.04,1.0,1.0,0.0,0.0,11.483333333333333,18,Thursday,1
12274,75,239,1.0,1.87,13.5,2.5,0.5,3.04,0.0,23.29,1.0,1.0,2.75,0.0,12.533333333333333,18,Thursday,1
12275,75,74,1.0,1.27,7.9,2.5,0.5,2.0,0.0,13.9,1.0,1.0,0.0,0.0,4.75,18,Thursday,1
12276,75,74,1.0,1.28,7.2,2.5,0.5,2.8,0.0,14.0,1.0,1.0,0.0,0.0,3.55,18,Thursday,1
12277,74,75,1.0,0.92,7.9,2.5,0.5,0.0,0.0,11.9,2.0,1.0,0.0,0.0,6.166666666666667,18,Thursday,1
12278,43,237,1.0,1.37,9.3,2.5,0.5,3.21,0.0,19.26,1.0,1.0,2.75,0.0,7.583333333333333,18,Thursday,1
12279,65,61,1.0,3.6,23.3,2.5,0.5,0.0,0.0,27.3,2.0,1.0,0.0,0.0,24.65,18,Thursday,1
12280,74,140,1.0,3.14,20.5,2.5,0.5,4.0,0.0,31.25,1.0,1.0,2.75,0.0,20.15,18,Thursday,1
12281,75,41,1.0,1.79,12.1,2.5,0.5,3.22,0.0,19.32,1.0,1.0,0.0,0.0,11.433333333333334,18,Thursday,1
12282,74,244,1.0,3.98,24.7,2.5,0.5,5.74,0.0,34.44,1.0,1.0,0.0,0.0,24.166666666666668,18,Thursday,1
12284,75,238,1.0,1.36,9.3,2.5,0.5,3.21,0.0,19.26,1.0,1.0,2.75,0.0,7.3,18,Thursday,1
12285,236,163,1.0,1.89,14.2,2.5,0.5,4.34,0.0,26.04,1.0,1.0,2.75,0.75,13.383333333333333,18,Thursday,1
12286,75,74,1.0,1.46,10.7,2.5,0.5,3.68,0.0,18.38,1.0,1.0,0.0,0.0,10.216666666666667,18,Thursday,1
12287,74,236,1.0,1.82,12.1,2.5,0.5,3.39,0.0,22.24,1.0,1.0,2.75,0.0,10.716666666666667,18,Thursday,1
12288,43,238,1.0,2.26,17.0,2.5,0.5,0.0,0.0,23.75,2.0,1.0,2.75,0.0,17.516666666666666,17,Thursday,1
12289,75,246,1.0,4.76,26.1,2.5,0.5,0.0,0.0,33.6,2.0,1.0,2.75,0.75,24.566666666666666,18,Thursday,1
12291,260,138,1.0,4.02,18.4,7.5,0.5,5.48,0.0,32.88,1.0,1.0,0.0,0.0,9.95,18,Thursday,1
12294,43,141,1.0,1.59,10.7,2.5,0.5,2.0,0.0,19.45,1.0,1.0,2.75,0.0,9.366666666666667,18,Thursday,1
12295,82,129,1.0,0.91,9.3,2.5,0.5,0.0,0.0,13.3,2.0,1.0,0.0,0.0,8.233333333333333,18,Thursday,1
12296,75,142,1.0,2.49,14.9,2.5,0.5,0.0,0.0,21.65,2.0,1.0,2.75,0.0,13.716666666666667,18,Thursday,1
12297,82,138,1.0,3.67,17.7,7.5,0.5,5.34,0.0,32.04,1.0,1.0,0.0,0.0,9.966666666666667,18,Thursday,1
12299,74,41,1.0,1.25,10.0,2.5,0.5,0.0,0.0,14.0,2.0,1.0,0.0,0.0,9.633333333333333,18,Thursday,1
12300,75,263,1.0,1.39,10.7,2.5,0.5,0.0,0.0,17.45,2.0,1.0,2.75,0.0,9.983333333333333,18,Thursday,1
12302,130,215,1.0,1.51,10.7,2.5,0.5,2.94,0.0,17.64,1.0,1.0,0.0,0.0,9.783333333333333,18,Thursday,1
12303,92,53,1.0,2.03,12.8,2.5,0.5,0.0,0.0,16.8,2.0,1.0,0.0,0.0,11.5,18,Thursday,1
12305,43,237,1.0,1.28,10.0,2.5,0.5,3.35,0.0,20.1,1.0,1.0,2.75,0.0,8.616666666666667,17,Thursday,1
12306,43,237,1.0,1.55,11.4,2.5,0.5,3.63,0.0,21.78,1.0,1.0,2.75,0.0,10.866666666666667,18,Thursday,1
12310,196,82,1.0,2.1,15.6,2.5,0.5,0.0,0.0,19.6,1.0,1.0,0.0,0.0,14.266666666666667,18,Thursday,1
12311,33,195,1.0,1.8,10.7,2.5,0.5,3.68,0.0,18.38,1.0,1.0,0.0,0.0,8.9,18,Thursday,1
12312,74,75,1.0,1.33,8.6,2.5,0.5,3.78,0.0,16.38,1.0,1.0,0.0,0.0,6.133333333333334,18,Thursday,1
12313,75,74,1.0,1.34,7.9,2.5,0.5,1.1,0.0,13.0,1.0,1.0,0.0,0.0,5.083333333333333,18,Thursday,1
12314,95,135,1.0,2.08,13.5,2.5,0.5,0.0,0.0,17.5,2.0,1.0,0.0,0.0,11.4,18,Thursday,1
12316,33,52,1.0,0.8,6.5,2.5,1.5,1.0,0.0,11.5,1.0,1.0,0.0,0.0,4.683333333333334,18,Thursday,1
12317,97,181,1.0,1.6,12.1,2.5,1.5,3.22,0.0,19.32,1.0,1.0,0.0,0.0,14.483333333333333,18,Thursday,1
12319,74,237,1.0,2.66,16.3,2.5,0.5,4.61,0.0,27.66,1.0,1.0,2.75,0.0,13.65,18,Thursday,1
12320,65,89,1.0,3.04,18.4,2.5,0.5,0.0,0.0,22.4,2.0,1.0,0.0,0.0,17.183333333333334,19,Thursday,1
12321,74,42,1.0,0.87,8.6,2.5,0.5,2.38,0.0,14.28,1.0,1.0,0.0,0.0,7.883333333333334,19,Thursday,1
12324,74,263,1.0,2.02,12.8,2.5,0.5,3.91,0.0,23.46,1.0,1.0,2.75,0.0,10.516666666666667,19,Thursday,1
12326,83,129,1.0,1.0,7.9,2.5,0.5,2.38,0.0,14.28,1.0,1.0,0.0,0.0,5.983333333333333,19,Thursday,1
12327,75,237,1.0,1.8,12.8,2.5,0.5,2.35,0.0,21.9,1.0,1.0,2.75,0.0,11.033333333333333,19,Thursday,1
12328,43,237,1.0,1.51,10.0,2.5,0.5,3.35,0.0,20.1,1.0,1.0,2.75,0.0,7.883333333333334,19,Thursday,1
12329,75,262,1.0,1.62,13.5,2.5,0.5,3.04,0.0,23.29,1.0,1.0,2.75,0.0,13.866666666666667,19,Thursday,1
12331,41,41,1.0,0.0,14.0,0.0,0.0,0.08,0.0,15.08,1.0,2.0,0.0,0.0,0.1,19,Thursday,1
12332,75,238,1.0,0.91,7.9,2.5,0.5,1.0,0.0,12.9,1.0,1.0,0.0,0.0,5.666666666666667,19,Thursday,1
12333,65,97,1.0,1.29,11.4,2.5,0.5,3.85,0.0,19.25,1.0,1.0,0.0,0.0,10.666666666666666,19,Thursday,1
12334,65,49,1.0,1.72,11.4,2.5,0.5,3.85,0.0,19.25,1.0,1.0,0.0,0.0,10.65,19,Thursday,1
12335,7,179,1.0,0.86,7.2,2.5,0.5,1.0,0.0,12.2,1.0,1.0,0.0,0.0,5.1,19,Thursday,1
12336,75,236,1.0,1.46,10.7,2.5,0.5,3.49,0.0,20.94,1.0,1.0,2.75,0.0,9.583333333333334,17,Thursday,1
12338,43,238,1.0,0.82,5.8,2.5,0.5,2.51,0.0,15.06,1.0,1.0,2.75,0.0,2.75,19,Thursday,1
12341,75,74,1.0,1.35,8.6,2.5,0.5,2.0,0.0,14.6,1.0,1.0,0.0,0.0,5.566666666666666,19,Thursday,1
12342,43,239,1.0,1.95,11.4,2.5,0.5,3.09,0.0,21.24,1.0,1.0,2.75,0.0,10.083333333333334,19,Thursday,1
12344,74,151,1.0,2.48,15.6,2.5,0.5,3.92,0.0,23.52,1.0,1.0,0.0,0.0,13.933333333333334,19,Thursday,1
12345,74,244,1.0,3.07,18.4,2.5,0.5,4.48,0.0,26.88,1.0,1.0,0.0,0.0,18.716666666666665,19,Thursday,1
12346,65,17,1.0,2.4,15.6,2.5,1.5,3.9,0.0,23.5,1.0,1.0,0.0,0.0,15.6,19,Thursday,1
12347,24,41,1.0,0.65,5.8,2.5,0.5,0.0,0.0,9.8,2.0,1.0,0.0,0.0,3.566666666666667,19,Thursday,1
12348,75,74,1.0,1.4,7.9,2.5,0.5,2.38,0.0,14.28,1.0,1.0,0.0,0.0,3.85,19,Thursday,1
12350,130,95,1.0,2.57,14.9,2.5,0.5,0.0,0.0,18.9,2.0,1.0,0.0,0.0,11.4,19,Thursday,1
12351,130,219,1.0,4.41,19.1,2.5,0.5,0.0,0.0,23.1,1.0,1.0,0.0,0.0,10.85,19,Thursday,1
12352,74,236,1.0,1.92,11.4,2.5,0.5,1.82,0.0,19.97,1.0,1.0,2.75,0.0,9.1,19,Thursday,1
12353,43,262,1.0,1.6,11.4,2.5,0.5,3.63,0.0,21.78,1.0,1.0,2.75,0.0,10.6,19,Thursday,1
12354,95,95,1.0,0.89,7.2,2.5,0.5,0.81,0.0,12.01,1.0,1.0,0.0,0.0,4.75,19,Thursday,1
12356,75,263,1.0,1.67,13.5,2.5,0.5,4.05,0.0,24.3,1.0,1.0,2.75,0.0,13.15,19,Thursday,1
12357,95,56,1.0,2.43,14.9,2.5,0.5,3.78,0.0,22.68,1.0,1.0,0.0,0.0,14.8,19,Thursday,1
12358,75,236,1.0,0.64,6.5,2.5,0.5,1.32,0.0,14.57,1.0,1.0,2.75,0.0,4.583333333333333,19,Thursday,1
12361,41,41,1.0,0.5,5.1,2.5,1.5,0.0,0.0,9.1,2.0,1.0,0.0,0.0,2.3333333333333335,19,Thursday,1
12362,43,75,1.0,0.79,5.8,2.5,0.5,1.96,0.0,11.76,1.0,1.0,0.0,0.0,3.183333333333333,19,Thursday,1
12363,75,74,1.0,1.34,9.3,2.5,0.5,2.0,0.0,15.3,1.0,1.0,0.0,0.0,6.883333333333334,19,Thursday,1
12366,75,41,1.0,1.52,8.6,2.5,0.5,2.52,0.0,15.12,1.0,1.0,0.0,0.0,5.716666666666667,19,Thursday,1
12367,75,141,1.0,1.96,12.1,2.5,0.5,0.0,0.0,18.85,2.0,1.0,2.75,0.0,9.666666666666666,19,Thursday,1
12368,223,260,1.0,3.29,17.0,2.5,0.5,5.25,0.0,26.25,1.0,1.0,0.0,0.0,11.233333333333333,19,Thursday,1
12370,82,82,1.0,0.06,3.0,2.5,0.5,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.8,19,Thursday,1
12372,75,263,1.0,1.43,10.0,2.5,0.5,0.0,0.0,16.75,2.0,1.0,2.75,0.0,8.883333333333333,19,Thursday,1
